entry_time,exit_time,type,entry_level,entry_price,exit_price,pnl,reason
2025-11-27 09:15:00+05:30,2025-11-27 11:05:00+05:30,SHORT,403,403,403.1000061035156,-0.6642761077880859,EMA_SWITCH
2025-11-27 11:05:00+05:30,2025-11-27 11:15:00+05:30,BUY,403,403,403.04998779296875,-0.5142471984863282,EMA_SWITCH
2025-11-27 11:15:00+05:30,2025-11-27 11:20:00+05:30,SHORT,403,403,403.1000061035156,-0.6642761077880859,EMA_SWITCH
2025-11-27 11:20:00+05:30,2025-11-27 11:35:00+05:30,BUY,403,403,403.0,-0.5642,EMA_SWITCH
2025-11-27 11:35:00+05:30,2025-11-27 11:40:00+05:30,SHORT,403,403,403.1000061035156,-0.6642761077880859,EMA_SWITCH
2025-11-27 11:40:00+05:30,2025-11-27 11:45:00+05:30,BUY,403,403,402.75,-0.814025,EMA_SWITCH
2025-11-27 11:45:00+05:30,2025-11-27 12:10:00+05:30,SHORT,403,403,403.1000061035156,-0.6642761077880859,EMA_SWITCH
2025-11-27 12:10:00+05:30,2025-11-27 12:20:00+05:30,BUY,403,403,402.8999938964844,-0.6641360992431641,EMA_SWITCH
2025-11-27 12:20:00+05:30,2025-11-27 12:40:00+05:30,SHORT,403,403,403.04998779296875,-0.6142227844238282,EMA_SWITCH
2025-11-27 12:40:00+05:30,2025-11-27 13:05:00+05:30,BUY,403,403,402.70001220703125,-0.8639778015136719,EMA_SWITCH
2025-11-27 13:05:00+05:30,2025-11-27 13:50:00+05:30,SHORT,403,403,402.8500061035156,-0.41410110778808595,EMA_SWITCH
2025-11-27 13:55:00+05:30,2025-11-27 14:05:00+05:30,SHORT,403,403,403.0,-0.5642,EMA_SWITCH
2025-11-27 14:05:00+05:30,2025-11-27 14:10:00+05:30,BUY,403,403,402.5,-1.06385,EMA_SWITCH
2025-11-27 14:10:00+05:30,2025-11-27 14:20:00+05:30,SHORT,403,403,403.0,-0.5642,EMA_SWITCH
2025-11-27 14:20:00+05:30,2025-11-27 14:35:00+05:30,BUY,403,403,402.79998779296875,-0.7640721984863281,EMA_SWITCH
2025-11-27 14:45:00+05:30,2025-11-27 15:00:00+05:30,BUY,403,403,404.0,0.43510000000000004,TARGET
2025-11-27 15:00:00+05:30,2025-11-27 15:25:00+05:30,BUY,404,404,405.5,0.93335,EOD
2025-11-28 09:15:00+05:30,2025-11-28 09:30:00+05:30,BUY,404,404,403.1499938964844,-1.4150110992431641,EMA_SWITCH
2025-11-28 09:35:00+05:30,2025-11-28 09:40:00+05:30,SHORT,403,403,403.45001220703125,-1.0145272155761718,EMA_SWITCH
2025-11-28 09:40:00+05:30,2025-11-28 10:10:00+05:30,BUY,403,403,402.95001220703125,-0.6141528015136719,EMA_SWITCH
2025-11-28 10:10:00+05:30,2025-11-28 10:35:00+05:30,SHORT,403,403,403.3500061035156,-0.9144511077880859,EMA_SWITCH
2025-11-28 10:35:00+05:30,2025-11-28 11:00:00+05:30,BUY,403,403,403.0,-0.5642,EMA_SWITCH
2025-11-28 11:00:00+05:30,2025-11-28 11:20:00+05:30,SHORT,403,403,403.20001220703125,-0.7643522155761718,EMA_SWITCH
2025-11-28 11:20:00+05:30,2025-11-28 11:55:00+05:30,BUY,403,403,404.0,0.43510000000000004,TARGET
2025-11-28 11:55:00+05:30,2025-11-28 12:20:00+05:30,BUY,404,404,403.25,-1.315075,EMA_SWITCH
2025-11-28 12:20:00+05:30,2025-11-28 12:40:00+05:30,SHORT,403,403,403.79998779296875,-1.364747784423828,EMA_SWITCH
2025-11-28 12:45:00+05:30,2025-11-28 13:40:00+05:30,BUY,404,404,403.3999938964844,-1.1651860992431642,EMA_SWITCH
2025-11-28 14:15:00+05:30,2025-11-28 14:30:00+05:30,SHORT,403,403,403.70001220703125,-1.2647022155761718,EMA_SWITCH
2025-11-28 14:30:00+05:30,2025-11-28 14:40:00+05:30,BUY,403,403,403.29998779296875,-0.2644221984863281,EMA_SWITCH
2025-11-28 15:05:00+05:30,2025-11-28 15:25:00+05:30,BUY,404,404,404.29998779296875,-0.26582219848632815,EOD
