entry_time,entry_price,position_type,exit_time,exit_price,pnl,shares,exit_reason
2025-07-22 11:05:00+05:30,1414.7829,long,2025-07-22 13:00:00+05:30,1417.4164111816406,171.65502517303383,141,Reverse to Short
2025-07-22 13:00:00+05:30,1417.4164111816406,short,2025-07-22 14:55:00+05:30,1414.1828044189454,456.1665228168031,141,Reverse to Long
2025-07-22 14:55:00+05:30,1414.1828044189454,long,2025-07-23 09:15:00+05:30,1424.3150555908203,1228.5333161036797,141,Reverse to Short
2025-07-23 09:15:00+05:30,1424.3150555908203,short,2025-07-23 13:20:00+05:30,1418.2836,844.8259846062061,140,Reverse to Long
2025-07-23 13:20:00+05:30,1418.2836,long,2025-07-23 13:55:00+05:30,1422.2155,354.14271344999844,141,Reverse to Short
2025-07-23 13:55:00+05:30,1422.2155,short,2025-07-24 09:15:00+05:30,1415.283,971.0352750000175,140,Reverse to Long
2025-07-24 09:15:00+05:30,1415.283,long,2025-07-24 13:40:00+05:30,1405.2189,-1617.8834839499816,141,Reverse to Short
2025-07-24 13:40:00+05:30,1405.2189,short,2025-07-24 15:05:00+05:30,1401.8802955810547,474.3188684039985,142,Reverse to Long
2025-07-24 15:05:00+05:30,1401.8802955810547,long,2025-07-25 11:20:00+05:30,1398.9201111816406,-619.2030135969794,142,Reverse to Short
2025-07-25 11:20:00+05:30,1398.9201111816406,short,2025-07-25 13:25:00+05:30,1395.279,517.2963066868574,142,Reverse to Long
2025-07-25 13:25:00+05:30,1395.279,long,2025-07-28 09:30:00+05:30,1398.6202444091798,278.0341545374463,143,Reverse to Short
2025-07-28 09:30:00+05:30,1398.6202444091798,short,2025-07-28 12:15:00+05:30,1397.4793911621093,162.08216166455117,142,Reverse to Long
2025-07-28 12:15:00+05:30,1397.4793911621093,long,2025-07-29 09:15:00+05:30,1396.4206111816407,-351.1693873746173,143,Reverse to Short
2025-07-29 09:15:00+05:30,1396.4206111816407,short,2025-07-29 12:50:00+05:30,1391.2782,735.7324813740912,143,Reverse to Long
2025-07-29 12:50:00+05:30,1391.2782,long,2025-07-29 13:20:00+05:30,1395.7208,436.02137150000027,143,Reverse to Short
2025-07-29 13:20:00+05:30,1395.7208,short,2025-07-30 10:05:00+05:30,1408.2816,-1797.0924971999918,143,Reverse to Long
2025-07-30 10:05:00+05:30,1408.2816,long,2025-07-30 11:25:00+05:30,1416.1167444091798,912.0582236504858,142,Reverse to Short
2025-07-30 11:25:00+05:30,1416.1167444091798,short,2025-07-30 15:10:00+05:30,1408.2816,1105.3077393751585,141,Reverse to Long
2025-07-30 15:10:00+05:30,1408.2816,long,2025-07-31 10:50:00+05:30,1392.9213111816407,-2380.0464189009012,142,Reverse to Short
2025-07-31 10:50:00+05:30,1392.9213111816407,short,2025-07-31 14:15:00+05:30,1395.3789955810546,-351.6245935507552,143,Reverse to Long
