entry_time,entry_price,position_type,exit_time,exit_price,pnl,shares,exit_reason
2025-07-22 11:05:00+05:30,1414.7829,long,2025-07-22 13:00:00+05:30,1417.4164111816406,68.17504545879204,56,Reverse to Short L1
2025-07-22 13:00:00+05:30,1417.4164111816406,short,2025-07-22 14:55:00+05:30,1414.1828044189454,101.79720067411645,56,Reverse to Long L1
2025-07-22 14:55:00+05:30,1414.1828044189454,long,2025-07-23 09:15:00+05:30,1424.3150555908203,487.9281255447361,56,Reverse to Short L1
2025-07-23 09:15:00+05:30,1424.3150555908203,short,2025-07-23 13:20:00+05:30,1418.2836,258.1687507294117,56,Reverse to Long L1
2025-07-23 13:20:00+05:30,1418.2836,long,2025-07-23 13:55:00+05:30,1422.2155,140.6524252000061,56,Reverse to Short L1
2025-07-23 13:55:00+05:30,1422.2155,short,2025-07-24 09:15:00+05:30,1415.283,308.7700420000041,56,Reverse to Long L1
2025-07-24 09:15:00+05:30,1415.283,long,2025-07-24 13:40:00+05:30,1405.2189,-642.5636531999924,56,Reverse to Short L1
2025-07-24 11:15:00+05:30,1399.7799,long,2025-07-24 13:40:00+05:30,1405.2189,169.53302520000162,42,Reverse to Short L2
2025-07-24 13:40:00+05:30,1405.2189,short,2025-07-24 15:05:00+05:30,1401.8802955810547,108.36306998467634,56,Reverse to Long L1
2025-07-24 15:05:00+05:30,1401.8802955810547,long,2025-07-25 11:20:00+05:30,1398.9201111816406,-248.55332235934145,57,Reverse to Short L1
2025-07-25 10:15:00+05:30,1384.7769,long,2025-07-25 11:20:00+05:30,1398.9201111816406,548.3085950701397,43,Reverse to Short L2
2025-07-25 11:20:00+05:30,1398.9201111816406,short,2025-07-25 13:25:00+05:30,1395.279,127.90866268483242,57,Reverse to Long L1
2025-07-25 13:25:00+05:30,1395.279,long,2025-07-28 09:30:00+05:30,1398.6202444091798,110.82480285757636,57,Reverse to Short L1
2025-07-28 09:30:00+05:30,1398.6202444091798,short,2025-07-28 12:15:00+05:30,1397.4793911621093,-14.66020453076802,57,Reverse to Long L1
